rental_id,customer_id,rental_date,rental_status,return_date,extract_rental_year,extract_rental_month
BbUz-21385-232,309,2016-11-11,Rented,,2016,11
zvHs-62464-845,778,2015-09-01,Rented,,2015,9
mMzL-96472-879,141,2018-12-21,Rented,,2018,12
tRUo-05279-919,934,2019-06-28,Rented,,2019,6
Kskt-88699-039,978,2017-12-14,Rented,,2017,12
CBsQ-45330-227,902,2022-01-13,Rented,,2022,1
WgyE-60211-471,24,2018-04-25,Rented,,2018,4
KxiQ-11926-867,865,2022-08-21,Rented,,2022,8
YSks-78068-599,46,2023-06-01,Rented,,2023,6
rZMF-06763-849,731,2022-04-28,Rented,,2022,4
Irqo-04365-583,662,2015-11-19,Rented,,2015,11
cQjc-15680-381,296,2022-03-01,Rented,,2022,3
PPUG-70396-280,176,2017-09-04,Rented,,2017,9
gIgm-20752-827,887,2018-04-24,Rented,,2018,4
KgJZ-65132-444,167,2017-07-30,Rented,,2017,7
VtQt-27773-042,365,2017-08-25,Rented,,2017,8
GMWx-13106-703,248,2018-11-28,Rented,,2018,11
NdcO-10458-121,417,2019-10-20,Rented,,2019,10
HSjH-80655-556,688,2016-11-01,Rented,,2016,11
mNWO-41085-453,527,2022-03-21,Rented,,2022,3
bTrq-01195-782,328,2022-06-20,Rented,,2022,6
XLfI-88056-903,533,2023-02-27,Rented,,2023,2
cblE-59774-667,21,2023-11-06,Rented,,2023,11
YODH-61220-380,366,2016-02-26,Rented,,2016,2
mklR-94767-614,859,2017-04-20,Rented,,2017,4
BCdk-99411-851,904,2020-09-01,Rented,,2020,9
AHfK-78252-943,779,2016-09-07,Rented,,2016,9
ttjk-29006-696,956,2016-03-23,Rented,,2016,3
jQNw-26960-413,716,2018-09-07,Rented,,2018,9
upaW-41499-434,807,2022-11-24,Rented,,2022,11
CCCB-86118-802,19,2019-06-02,Rented,,2019,6
bvID-59153-987,405,2019-04-15,Rented,,2019,4
weSW-17102-128,488,2022-11-18,Rented,,2022,11
Rnpr-11504-688,792,2023-10-26,Rented,,2023,10
SvjZ-65032-208,116,2017-07-04,Rented,,2017,7
hARX-21576-577,510,2020-09-30,Rented,,2020,9
XubC-18023-452,585,2017-07-15,Rented,,2017,7
Hmcy-34926-220,766,2016-06-12,Rented,,2016,6
thBH-53780-330,584,2018-08-25,Rented,,2018,8
TfaY-86066-033,402,2018-09-01,Rented,,2018,9
ypft-10087-053,881,2021-08-22,Rented,,2021,8
bvVW-92562-214,325,2019-06-25,Rented,,2019,6
quZT-77108-251,349,2015-02-24,Rented,,2015,2
YpWU-22173-200,558,2022-01-04,Rented,,2022,1
Bnxu-33970-591,384,2018-12-17,Rented,,2018,12
LbMs-82797-284,720,2017-03-18,Rented,,2017,3
axjZ-43866-269,1,2022-06-29,Rented,,2022,6
slOs-58317-319,140,2022-11-07,Rented,,2022,11
CCNs-13241-081,608,2021-09-14,Rented,,2021,9
FOMU-42497-065,89,2015-04-28,Rented,,2015,4
bDVa-82001-748,612,2016-11-14,Rented,,2016,11
Iibw-23370-597,777,2020-03-29,Rented,,2020,3
JiaK-16315-197,243,2018-01-05,Rented,,2018,1
mrbZ-59806-554,309,2021-04-04,Rented,,2021,4
jNVB-87397-264,190,2023-07-11,Rented,,2023,7
NXbL-81448-551,853,2022-03-10,Rented,,2022,3
Yhco-31639-782,851,2017-11-28,Rented,,2017,11
jJXY-97609-497,20,2017-06-22,Rented,,2017,6
LQMU-32421-925,645,2022-03-03,Rented,,2022,3
VUFw-29867-004,456,2017-09-05,Rented,,2017,9
fvMi-60348-460,365,2017-11-05,Rented,,2017,11
FAoW-48011-639,944,2016-03-24,Rented,,2016,3
whHr-73580-329,663,2021-07-31,Rented,,2021,7
KztX-41299-386,656,2022-10-07,Rented,,2022,10
glJI-98175-680,870,2020-09-11,Rented,,2020,9
PSXR-94946-618,400,2018-06-02,Rented,,2018,6
pbel-15350-316,18,2021-10-05,Rented,,2021,10
SrbJ-51815-507,34,2023-07-15,Rented,,2023,7
Ivjm-85754-994,368,2015-01-11,Rented,,2015,1
ajeH-65802-197,898,2016-05-17,Rented,,2016,5
VuyW-94572-962,572,2021-01-26,Rented,,2021,1
vBuT-32917-903,763,2015-01-26,Rented,,2015,1
yQlV-59184-156,239,2019-03-13,Rented,,2019,3
eKQn-45341-228,298,2018-08-28,Rented,,2018,8
Yrpx-66324-702,697,2023-12-23,Rented,,2023,12
wQQd-53644-751,365,2017-11-09,Rented,,2017,11
LEIa-66340-622,944,2021-02-15,Rented,,2021,2
LEuC-67433-748,708,2021-10-21,Rented,,2021,10
sNhX-16691-430,346,2016-10-08,Rented,,2016,10
FyIQ-67091-011,158,2020-07-16,Rented,,2020,7
Owzp-39231-184,578,2022-08-20,Rented,,2022,8
vIhp-39253-666,652,2021-03-05,Rented,,2021,3
NBuu-53120-172,87,2023-04-07,Rented,,2023,4
QrgS-92959-002,530,2018-12-24,Rented,,2018,12
VzWX-62859-574,396,2021-11-05,Rented,,2021,11
noLG-61783-472,968,2021-09-21,Rented,,2021,9
GxBS-78815-181,738,2015-10-04,Rented,,2015,10
Qrqs-47024-922,965,2017-09-15,Rented,,2017,9
NPip-74543-121,323,2023-11-03,Rented,,2023,11
DDCs-15316-530,296,2016-07-08,Rented,,2016,7
Fmmo-97789-008,760,2022-10-13,Rented,,2022,10
zkqa-05638-357,979,2022-03-03,Rented,,2022,3
ebwe-23910-419,148,2020-05-17,Rented,,2020,5
abTh-68525-008,811,2018-07-06,Rented,,2018,7
qgWP-49092-274,983,2023-05-23,Rented,,2023,5
raNi-16460-317,515,2021-01-02,Rented,,2021,1
PuvQ-15256-807,144,2021-02-05,Rented,,2021,2
Mglb-50240-659,669,2016-07-17,Rented,,2016,7
kCNl-90964-200,788,2019-12-12,Rented,,2019,12
vxgD-71531-877,758,2019-09-02,Rented,,2019,9
LUSL-19360-483,742,2020-12-14,Rented,,2020,12
sCEQ-25262-986,977,2023-10-11,Rented,,2023,10
GeAK-89029-757,168,2015-02-15,Rented,,2015,2
gLMm-19632-560,592,2018-05-16,Rented,,2018,5
yGQg-33530-138,443,2017-12-02,Rented,,2017,12
glXK-51621-710,267,2018-06-13,Rented,,2018,6
FNln-90382-628,522,2022-06-03,Rented,,2022,6
HpZc-48347-441,23,2022-03-31,Rented,,2022,3
MXhJ-98182-899,539,2022-12-01,Rented,,2022,12
zTAA-01012-175,246,2016-05-02,Rented,,2016,5
CCri-80114-271,245,2016-04-16,Rented,,2016,4
vLIg-59443-603,728,2019-11-13,Rented,,2019,11
XqOg-56753-866,607,2018-02-12,Rented,,2018,2
hNUD-61608-516,716,2016-10-29,Rented,,2016,10
TOHn-29480-985,540,2015-12-15,Rented,,2015,12
iMoA-44793-829,441,2019-07-25,Rented,,2019,7
bhpO-30022-154,465,2015-08-18,Rented,,2015,8
pemT-93677-804,55,2023-03-02,Rented,,2023,3
GicT-10349-470,294,2020-10-10,Rented,,2020,10
zuEF-46466-822,463,2023-08-10,Rented,,2023,8
WZsB-15538-166,272,2016-01-21,Rented,,2016,1
WsFw-01809-898,449,2023-06-28,Rented,,2023,6
GtxA-13875-933,620,2015-07-21,Rented,,2015,7
OGTJ-04320-430,663,2019-03-15,Rented,,2019,3
CHPt-81759-826,416,2021-05-12,Rented,,2021,5
FaXW-00950-365,536,2019-05-09,Rented,,2019,5
GUsX-86601-739,821,2015-05-18,Rented,,2015,5
Sfei-54145-229,218,2020-12-22,Rented,,2020,12
LdMu-56272-298,2,2020-04-23,Rented,,2020,4
eppJ-57838-570,564,2021-09-02,Rented,,2021,9
DvDs-62973-513,232,2023-07-26,Rented,,2023,7
jryq-78453-922,694,2016-06-20,Rented,,2016,6
TyGP-21566-173,871,2018-12-31,Rented,,2018,12
xbZX-02835-067,489,2015-03-14,Rented,,2015,3
vzLZ-51609-949,179,2018-11-05,Rented,,2018,11
CAIY-81894-827,79,2015-09-05,Rented,,2015,9
dLGc-95521-688,625,2023-06-20,Rented,,2023,6
ZXio-20778-682,429,2022-12-10,Rented,,2022,12
NaUG-77632-759,129,2015-05-18,Rented,,2015,5
cZGI-21546-213,267,2021-12-16,Rented,,2021,12
GqLG-80037-756,321,2015-01-01,Rented,,2015,1
vHHP-61258-617,7,2021-11-24,Rented,,2021,11
Rmtf-90655-754,492,2023-01-22,Rented,,2023,1
FyWS-02969-770,637,2016-11-11,Rented,,2016,11
KhoQ-98605-258,705,2018-05-03,Rented,,2018,5
MENu-95719-778,171,2021-03-27,Rented,,2021,3
PSuA-42951-737,361,2016-08-10,Rented,,2016,8
HlRW-82542-140,694,2016-02-08,Rented,,2016,2
SAcy-75433-175,89,2019-08-16,Rented,,2019,8
ajCQ-92227-054,721,2017-10-31,Rented,,2017,10
tpya-93413-994,636,2021-05-06,Rented,,2021,5
ZURH-94286-512,257,2015-03-10,Rented,,2015,3
ZTsc-87473-664,827,2023-08-19,Rented,,2023,8
VIMQ-66073-232,669,2023-09-17,Rented,,2023,9
jZLL-27692-831,545,2016-01-21,Rented,,2016,1
ZWON-89704-074,562,2023-04-22,Rented,,2023,4
ouqH-18469-717,174,2019-04-19,Rented,,2019,4
AlPy-11109-193,147,2017-09-21,Rented,,2017,9
UXHW-48286-641,332,2020-02-12,Rented,,2020,2
vAYU-61873-329,98,2022-05-01,Rented,,2022,5
fwVF-70427-240,173,2015-11-06,Rented,,2015,11
RrNm-54962-482,504,2016-01-16,Rented,,2016,1
uFKM-08410-395,381,2023-10-29,Rented,,2023,10
sUzo-60701-597,321,2016-06-28,Rented,,2016,6
uUEW-25268-559,545,2019-07-18,Rented,,2019,7
FlID-16890-543,904,2022-04-05,Rented,,2022,4
QYom-00697-676,253,2016-12-16,Rented,,2016,12
VuqV-73264-031,182,2019-07-16,Rented,,2019,7
NwOR-22397-817,659,2019-10-06,Rented,,2019,10
syYi-61533-416,913,2022-12-25,Rented,,2022,12
crnD-23654-744,626,2017-11-17,Rented,,2017,11
fZtW-71617-516,748,2020-12-07,Rented,,2020,12
Kdyc-06443-257,484,2018-01-02,Rented,,2018,1
yTNw-62076-359,32,2021-06-12,Rented,,2021,6
teBa-60231-727,699,2017-07-14,Rented,,2017,7
ipeY-93838-796,905,2019-07-26,Rented,,2019,7
fuwW-27508-203,141,2016-11-10,Rented,,2016,11
xGOm-49035-302,899,2018-09-22,Rented,,2018,9
dRAA-97699-845,889,2015-06-12,Rented,,2015,6
Maoy-49802-334,832,2019-09-04,Rented,,2019,9
vmTs-73417-686,616,2019-04-13,Rented,,2019,4
WoNt-85513-369,186,2023-01-19,Rented,,2023,1
VkXF-83618-870,415,2020-04-22,Rented,,2020,4
AlLz-88716-211,849,2018-03-17,Rented,,2018,3
WzXO-22743-833,680,2016-07-08,Rented,,2016,7
LpEl-30704-516,670,2022-10-21,Rented,,2022,10
Mzhu-31760-811,752,2016-04-21,Rented,,2016,4
uGTe-27990-903,472,2015-04-18,Rented,,2015,4
oyeU-13395-193,155,2023-11-29,Rented,,2023,11
BxZN-96399-579,908,2021-08-15,Rented,,2021,8
taEI-27476-916,62,2022-08-16,Rented,,2022,8
VpQo-15399-496,845,2023-01-23,Rented,,2023,1
zdoW-51430-800,82,2022-01-04,Rented,,2022,1
euku-79317-261,226,2016-07-25,Rented,,2016,7
TJbZ-73099-885,71,2018-08-18,Rented,,2018,8
iOpC-03990-305,230,2023-02-05,Rented,,2023,2
QYUL-14581-116,728,2022-04-13,Rented,,2022,4
vMxn-99027-309,90,2021-09-22,Rented,,2021,9
yOut-27338-476,493,2022-11-20,Rented,,2022,11
vrzY-52168-643,881,2015-11-21,Rented,,2015,11
XQpx-75352-628,993,2021-12-21,Rented,,2021,12
eMnp-30449-695,501,2023-01-17,Rented,,2023,1
NEDX-45254-524,683,2016-06-02,Rented,,2016,6
ZYyH-79336-630,350,2020-11-29,Rented,,2020,11
VwjL-65074-769,156,2022-09-24,Rented,,2022,9
YrsW-59671-756,668,2018-02-18,Rented,,2018,2
QoOm-18003-334,838,2016-12-28,Rented,,2016,12
gEfa-77718-441,137,2016-07-12,Rented,,2016,7
fEGc-98190-312,228,2020-08-23,Rented,,2020,8
rbeH-68222-577,551,2017-06-08,Rented,,2017,6
GTYE-23289-967,466,2023-04-02,Rented,,2023,4
gRWr-04052-087,637,2018-09-02,Rented,,2018,9
GDtt-18304-785,458,2016-05-24,Rented,,2016,5
fXDc-53020-830,549,2015-11-03,Rented,,2015,11
PTEu-86873-492,612,2016-10-02,Rented,,2016,10
gPgJ-09971-435,124,2020-08-09,Rented,,2020,8
VlOO-75514-344,748,2020-12-26,Rented,,2020,12
rYyF-96834-828,103,2016-10-08,Rented,,2016,10
HlvA-40516-185,667,2018-05-02,Rented,,2018,5
vYkL-30178-892,861,2016-09-30,Rented,,2016,9
MjgB-62310-442,791,2020-11-17,Rented,,2020,11
eema-18772-454,653,2021-05-25,Rented,,2021,5
LXlI-64761-326,87,2017-08-24,Rented,,2017,8
GapT-99623-690,703,2022-09-07,Rented,,2022,9
gozx-73488-932,999,2022-03-25,Rented,,2022,3
tpDK-20098-549,459,2017-12-17,Rented,,2017,12
rwYw-72910-889,564,2020-06-26,Rented,,2020,6
nLiY-36297-838,520,2023-05-12,Rented,,2023,5
PGOH-36845-175,562,2021-09-30,Rented,,2021,9
koQA-29781-414,99,2019-12-12,Rented,,2019,12
tXnB-36949-724,569,2019-06-03,Rented,,2019,6
MDuA-07597-138,893,2015-12-18,Rented,,2015,12
PDWG-02638-187,631,2020-02-16,Rented,,2020,2
zryc-73892-085,251,2022-07-09,Rented,,2022,7
KjAk-49973-407,152,2020-02-16,Rented,,2020,2
rGsG-28402-888,633,2015-06-06,Rented,,2015,6
PyBz-42505-480,884,2023-02-22,Rented,,2023,2
SJjQ-48410-756,8,2022-08-03,Rented,,2022,8
eXOS-06826-582,212,2021-03-10,Rented,,2021,3
DDBe-38671-117,31,2020-04-23,Rented,,2020,4
vWSl-78490-955,934,2018-03-26,Rented,,2018,3
mCRu-82930-742,882,2022-09-19,Rented,,2022,9
kHuP-02561-398,612,2020-12-13,Rented,,2020,12
bXdz-39816-191,140,2019-02-09,Rented,,2019,2
uzrT-03985-921,696,2023-05-17,Rented,,2023,5
cSzL-37205-059,259,2021-04-19,Rented,,2021,4
hpJY-37016-248,479,2021-09-03,Rented,,2021,9
Klxr-14832-629,482,2022-09-06,Rented,,2022,9
XvjE-81062-420,340,2018-01-06,Rented,,2018,1
PbuR-17478-255,154,2020-03-16,Rented,,2020,3
oYRw-87752-030,19,2023-09-08,Rented,,2023,9
gYAP-75081-648,422,2022-02-05,Rented,,2022,2
CtFa-05872-033,852,2022-01-22,Rented,,2022,1
pKsQ-66741-573,892,2017-05-29,Rented,,2017,5
EFrD-74005-495,41,2021-01-12,Rented,,2021,1
oxsA-85081-507,439,2018-03-26,Rented,,2018,3
QzfB-96134-671,270,2017-02-20,Rented,,2017,2
nSZM-01343-424,556,2023-06-13,Rented,,2023,6
tDRC-76563-074,3,2018-01-08,Rented,,2018,1
vgwv-96200-368,222,2020-05-24,Rented,,2020,5
xvYA-41278-366,684,2015-01-21,Rented,,2015,1
FwPn-31363-714,941,2019-08-13,Rented,,2019,8
cIXl-36626-032,423,2017-06-17,Rented,,2017,6
zIce-11586-150,894,2018-10-04,Rented,,2018,10
wCPI-98610-163,992,2016-06-30,Rented,,2016,6
XVEV-63701-593,329,2017-07-18,Rented,,2017,7
eWIB-13677-229,358,2016-09-25,Rented,,2016,9
XxSh-78127-225,930,2018-06-01,Rented,,2018,6
sfdV-48286-497,729,2016-08-24,Rented,,2016,8
BRhe-76104-601,57,2016-08-04,Rented,,2016,8
NqTO-82918-468,106,2017-08-22,Rented,,2017,8
LwEJ-89391-878,990,2020-01-14,Rented,,2020,1
LwGt-71700-241,743,2017-06-04,Rented,,2017,6
JSvj-10123-160,935,2018-07-28,Rented,,2018,7
uoWm-12204-258,696,2019-04-10,Rented,,2019,4
aXYh-21834-588,921,2022-10-03,Rented,,2022,10
kLCl-07743-494,236,2021-11-21,Rented,,2021,11
xHbh-73890-619,869,2017-12-24,Rented,,2017,12
JrrH-19991-896,859,2019-01-27,Rented,,2019,1
Tsmb-12563-536,187,2023-06-15,Rented,,2023,6
vvrx-82622-593,543,2018-04-25,Rented,,2018,4
LBCW-01701-906,346,2022-12-20,Rented,,2022,12
CcrK-42899-521,76,2019-11-12,Rented,,2019,11
CvmT-49614-256,930,2015-08-07,Rented,,2015,8
BHWu-69614-396,88,2017-12-03,Rented,,2017,12
pkEe-90949-411,899,2016-07-17,Rented,,2016,7
cnif-01374-418,218,2019-07-04,Rented,,2019,7
UojB-52420-434,973,2016-02-07,Rented,,2016,2
otBc-14470-314,468,2018-02-14,Rented,,2018,2
gPIA-42483-143,922,2020-01-01,Rented,,2020,1
TysP-38429-561,291,2021-03-16,Rented,,2021,3
hlmi-23631-952,278,2016-02-26,Rented,,2016,2
ZFuP-19490-689,997,2023-01-16,Rented,,2023,1
NaOO-78250-148,817,2018-08-21,Rented,,2018,8
BMaO-72305-499,759,2023-09-01,Rented,,2023,9
mdBP-48690-205,851,2020-06-05,Rented,,2020,6
UhAC-04636-352,427,2022-08-10,Rented,,2022,8
uiPS-96050-210,439,2022-05-30,Rented,,2022,5
OEOc-47202-946,878,2015-11-09,Rented,,2015,11
zdfR-30592-668,272,2017-08-15,Rented,,2017,8
NUct-84215-787,436,2016-12-30,Rented,,2016,12
nLLr-52998-299,688,2021-09-22,Rented,,2021,9
jiVk-23596-975,459,2015-07-16,Rented,,2015,7
uUyT-71036-976,981,2023-11-06,Rented,,2023,11
nBlq-42452-698,80,2015-08-14,Rented,,2015,8
ketj-87587-656,505,2015-05-05,Rented,,2015,5
SwfR-96110-917,256,2016-02-10,Rented,,2016,2
BFUk-19078-868,268,2017-12-13,Rented,,2017,12
XiPx-31813-447,113,2020-12-02,Rented,,2020,12
tyhI-01645-536,940,2020-06-04,Rented,,2020,6
Iptg-82806-828,351,2015-10-01,Rented,,2015,10
JqjG-49709-164,356,2019-01-11,Rented,,2019,1
zURg-57982-470,861,2018-10-07,Rented,,2018,10
WRRk-20799-397,739,2023-08-01,Rented,,2023,8
tvzt-03352-982,844,2017-10-20,Rented,,2017,10
eZLF-49439-208,12,2016-12-22,Rented,,2016,12
MAPt-84290-688,517,2016-01-28,Rented,,2016,1
xrBx-14973-618,847,2015-03-15,Rented,,2015,3
UOZH-00928-898,831,2018-10-09,Rented,,2018,10
WRVW-46477-293,232,2019-02-04,Rented,,2019,2
qRKr-46958-078,588,2022-01-14,Rented,,2022,1
pIIw-31103-598,598,2021-11-29,Rented,,2021,11
ofAn-29369-519,504,2020-07-03,Rented,,2020,7
czmP-66592-927,742,2020-09-25,Rented,,2020,9
KpYO-57791-746,826,2023-01-06,Rented,,2023,1
iZta-97110-660,495,2023-08-14,Rented,,2023,8
oWha-63401-031,302,2022-06-04,Rented,,2022,6
xyMg-44504-018,102,2021-02-22,Rented,,2021,2
feoJ-95707-537,208,2020-09-30,Rented,,2020,9
Qdoa-74519-999,962,2021-02-09,Rented,,2021,2
gyYB-77780-325,702,2020-02-13,Rented,,2020,2
rlCW-61952-734,282,2019-10-04,Rented,,2019,10
zWrY-23263-552,889,2017-04-15,Rented,,2017,4
iYNQ-33141-603,294,2019-06-17,Rented,,2019,6
upNl-94880-296,6,2021-06-07,Rented,,2021,6
khMe-77048-926,241,2019-10-17,Rented,,2019,10
DTkj-74589-360,103,2021-08-15,Rented,,2021,8
ZZQJ-74371-395,258,2021-11-29,Rented,,2021,11
TXwx-18828-900,119,2017-01-31,Rented,,2017,1
lEJW-47698-180,439,2015-04-05,Rented,,2015,4
JFtl-88412-258,248,2017-01-26,Rented,,2017,1
KWmt-79470-664,91,2021-06-21,Rented,,2021,6
SXnR-88202-751,330,2023-10-09,Rented,,2023,10
ytns-83278-756,737,2018-05-31,Rented,,2018,5
DFie-85400-808,95,2022-04-02,Rented,,2022,4
cjmg-33086-058,600,2016-06-04,Rented,,2016,6
wHYx-84452-278,5,2020-02-08,Rented,,2020,2
Akqx-43047-527,588,2015-04-06,Rented,,2015,4
AqGj-24427-246,954,2022-10-22,Rented,,2022,10
yAMb-06844-127,257,2018-10-24,Rented,,2018,10
RvhH-70246-413,817,2021-08-21,Rented,,2021,8
QlBt-19439-617,49,2019-04-24,Rented,,2019,4
TFwr-42636-226,242,2022-10-30,Rented,,2022,10
mQUC-11448-664,51,2016-10-17,Rented,,2016,10
XHhc-83211-255,154,2018-08-20,Rented,,2018,8
SXDt-82813-825,510,2017-12-27,Rented,,2017,12
GtQa-08827-376,70,2017-07-23,Rented,,2017,7
lbaw-96949-003,543,2018-05-08,Rented,,2018,5
MQIO-33151-841,677,2020-01-29,Rented,,2020,1
lZjN-31207-551,717,2023-09-21,Rented,,2023,9
YUjH-20444-728,230,2019-11-02,Rented,,2019,11
XuIN-05098-032,834,2018-12-25,Rented,,2018,12
RfJR-84863-740,534,2020-02-09,Rented,,2020,2
lsdc-89494-517,607,2020-09-08,Rented,,2020,9
yDCz-81700-587,7,2021-05-10,Rented,,2021,5
BHxE-56461-479,358,2015-07-08,Rented,,2015,7
yrfq-73320-408,529,2022-03-30,Rented,,2022,3
kuQZ-09549-155,612,2020-04-10,Rented,,2020,4
kcym-23339-953,269,2023-11-24,Rented,,2023,11
XSTO-47190-071,999,2015-05-30,Rented,,2015,5
Vyul-02707-741,916,2016-07-15,Rented,,2016,7
efOh-49859-475,374,2021-11-01,Rented,,2021,11
wIYg-24448-970,792,2021-09-08,Rented,,2021,9
ikkF-45201-634,870,2017-01-29,Rented,,2017,1
qmgD-14026-618,639,2018-11-24,Rented,,2018,11
YYlg-48909-320,575,2020-10-20,Rented,,2020,10
FuBl-03625-188,603,2019-05-02,Rented,,2019,5
lWUh-26160-154,55,2023-07-02,Rented,,2023,7
HKpJ-26772-588,719,2018-03-31,Rented,,2018,3
bMJv-34667-228,527,2021-05-29,Rented,,2021,5
ykHQ-65767-250,429,2017-10-30,Rented,,2017,10
wYnB-65373-024,815,2022-12-30,Rented,,2022,12
NbpK-37128-074,976,2015-05-23,Rented,,2015,5
VMak-47423-827,207,2021-07-19,Rented,,2021,7
tJMp-35776-423,903,2016-01-06,Rented,,2016,1
AcDX-52838-506,149,2017-01-28,Rented,,2017,1
rGRo-48325-319,919,2020-06-10,Rented,,2020,6
uDXl-38494-695,419,2022-08-05,Rented,,2022,8
kGmy-26035-234,369,2015-01-09,Rented,,2015,1
BrYL-33657-503,596,2019-07-24,Rented,,2019,7
TiLE-40137-547,679,2019-10-14,Rented,,2019,10
bFby-45371-406,738,2022-10-25,Rented,,2022,10
ZaHt-41430-582,72,2016-01-13,Rented,,2016,1
dmMu-22461-149,121,2015-07-26,Rented,,2015,7
AdJD-91370-583,224,2018-07-16,Rented,,2018,7
aGXS-25375-828,160,2022-05-02,Rented,,2022,5
aXod-62827-927,920,2017-06-01,Rented,,2017,6
BSWF-98835-211,165,2021-08-21,Rented,,2021,8
yoXg-68289-268,238,2015-12-26,Rented,,2015,12
VXgD-17117-678,847,2018-07-26,Rented,,2018,7
DgmW-15672-516,558,2016-04-01,Rented,,2016,4
mQJo-03365-778,782,2021-06-20,Rented,,2021,6
